Query Number	Algorithm	SolutionNumber	Size	Distance
33	MoeSQLmosa	0	3	[0.0, 377.0, 1.0, 189.0, 1.0, 566.0, 189.0, 190.0, 377.0, 378.0, 1081.0, 704.0, 705.0, 1082.0, 1081.0, 1080.0, 1110.0, 190.0, 189.0, 190.0, 192.0, 191.0, 192.0, 191.0, 192.0, 1.7976931348623156E306, 191.0, 189.0, 190.0, 189.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 189.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
33	MoeSQLmosa	1	3	[0.0, 554.0, 190.0, 188.0, 1.0, 554.0, 0.0, 1.0, 743.0, 555.0, 820.0, 266.0, 456.0, 821.0, 820.0, 819.0, 792.0, 189.0, 188.0, 189.0, 190.0, 189.0, 190.0, 189.0, 190.0, 1.7976931348623156E306, 1.7976931348623156E306, 188.0, 189.0, 188.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 188.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
33	MoeSQLmosa	2	3	[0.0, 155.0, 1.0, 129.0, 157.0, 129.0, 285.0, 130.0, 0.0, 1.0, 30.0, 186.0, 31.0, 31.0, 30.0, 31.0, 0.0, 31.0, 30.0, 31.0, 31.0, 30.0, 31.0, 42.03472222222222, 32.0, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.0, 30.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
33	MoeSQLmosa	3	3	[899.0, 1108.0, 1635.0, 1843.0, 900.0, 689.0, 899.0, 690.0, 1634.0, 690.0, 967.0, 1177.0, 1703.0, 968.0, 967.0, 968.0, 899.0, 688.0, 689.0, 690.0, 690.0, 689.0, 690.0, 701.0347222222222, 691.0, 1.7976931348623156E306, 1.7976931348623156E306, 689.0, 690.0, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 689.0, 1.7976931348623156E306]
33	MoeSQLmosa	4	3	[1.7976931348623156E306, 3.595386269724631E306, 3.595386269724631E306, 1.7976931348623156E306, 202.0, 1.7976931348623156E306, 3.595386269724631E306, 3.595386269724631E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 3.595386269724631E306, 3.595386269724631E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 3.595386269724631E306, 3.595386269724631E306, 3.595386269724631E306, 3.595386269724631E306, 3.595386269724631E306, 3.595386269724631E306, 3.595386269724631E306, 3.595386269724631E306, 3.595386269724631E306, 3.595386269724631E306, 3.595386269724631E306, 3.595386269724631E306]
33	MoeSQLmosa	5	4	[0.0, 721.0, 2.0, 418.0, 1.0, 1139.0, 418.0, 0.0, 721.0, 722.0, 721.0, 0.0, 1.0, 722.0, 721.0, 722.0, 757.0, 419.0, 418.0, 419.0, 419.0, 437.5251796945193, 420.0, 418.0, 419.0, 1.7976931348623156E306, 1.7976931348623156E306, 418.0, 419.0, 418.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
33	MoeSQLmosa	6	4	[10.153158602150537, 923.1531586021505, 11.153158602150537, 244.15315860215054, 184.0, 244.15315860215054, 1158.1531586021506, 245.15315860215054, 10.153158602150537, 1.0, 9.153158602150537, 923.1531586021505, 10.153158602150537, 10.153158602150537, 9.153158602150537, 10.153158602150537, 65.15315860215054, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 12.034722222222221, 1.0, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.0, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306, 1.7976931348623156E306]
33	MoeSQLmosa	7	3	[1.0, 756.0, 2.0, 699.0, 758.0, 699.0, 1455.0, 700.0, 1.0, 2.0, 0.0, 756.0, 1.0, 1.0, 0.0, 1.0, 39.0, 1.0, 0.0, 1.0, 1.0, 35.76130952380952, 2.0, 0.0, 1.0, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.0, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.7976931348623156E306]
33	MoeSQLmosa	8	3	[268.0, 535.0, 614.0, 880.0, 269.0, 0.0, 268.0, 1.0, 613.0, 1.0, 306.0, 574.0, 652.0, 307.0, 306.0, 307.0, 268.0, 1.0, 0.0, 1.0, 1.0, 30.916786226685797, 2.0, 0.0, 1.0, 1.7976931348623156E306, 1.7976931348623156E306, 0.0, 1.0, 0.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306]
33	MoeSQLmosa	9	3	[1.7976931348623156E306, 1.7976931348623156E306, 3.595386269724631E306, 1.7976931348623156E306, 0.0, 3.595386269724631E306, 1.7976931348623156E306, 3.595386269724631E306, 3.595386269724631E306, 589.0, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 3.595386269724631E306, 3.595386269724631E306, 1.7976931348623156E306, 1.7976931348623156E306, 1.7976931348623156E306, 3.595386269724631E306, 3.595386269724631E306, 3.595386269724631E306, 3.595386269724631E306, 3.595386269724631E306, 3.595386269724631E306, 3.595386269724631E306, 3.595386269724631E306, 3.595386269724631E306, 3.595386269724631E306, 3.595386269724631E306, 3.595386269724631E306]
