Query Number	Algorithm	Runtime	Coverage	TotalPath	Distance	Generations	Number Individual	Exceptions
42	MoeSQLmosa	50	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
42	MOTGA	28	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 2.0]	2	81	
43	MoeSQLmosa	6329	15	15	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	286	14400	
43	MOTGA	19938	15	15	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0]	9	830	
44	MoeSQLmosa	14	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
44	MOTGA	7	4	4	[0.0, 0.0, 0.0, 0.0]	0	36	
45	MoeSQLmosa	20	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
45	MOTGA	6	4	4	[0.0, 0.0, 0.0, 0.0]	0	33	
46	MoeSQLmosa	14	2	2	[0.0, 0.0]	0	100	
46	MOTGA	1	2	2	[0.0, 0.0]	0	11	
47	MoeSQLmosa	12	3	3	[0.0, 0.0, 0.0]	0	100	
47	MOTGA	2	3	3	[0.0, 0.0, 0.0]	0	15	
48	MoeSQLmosa	6	3	3	[0.0, 0.0, 0.0]	0	100	
48	MOTGA	1	3	3	[0.0, 0.0, 0.0]	0	7	
49	MoeSQLmosa	13	2	2	[0.0, 0.0]	0	100	
49	MOTGA	0	2	2	[0.0, 0.0]	0	5	
50	MoeSQLmosa	116	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	7	429	
50	MOTGA	38	9	9	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	255	
51	MoeSQLmosa	10	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
51	MOTGA	6	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
52	MoeSQLmosa	19	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
52	MOTGA	9	4	4	[0.0, 0.0, 0.0, 0.0]	0	36	
53	MoeSQLmosa	38	2	2	[0.0, 0.0]	0	100	
53	MOTGA	1	2	2	[0.0, 0.0]	0	11	
54	MoeSQLmosa	78	8	8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	3	241	
54	MOTGA	40	8	8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	200	
55	MoeSQLmosa	61	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
55	MOTGA	20	4	4	[0.0, 0.0, 0.0, 0.0]	0	36	
56	MoeSQLmosa	15	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
56	MOTGA	8	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	40	
57	MoeSQLmosa	14	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
57	MOTGA	129	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	314	
58	MoeSQLmosa	45	8	8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
58	MOTGA	100	8	8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4	176	
59	MoeSQLmosa	10	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
59	MOTGA	5	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
60	MoeSQLmosa	19	2	2	[0.0, 0.0]	0	100	
60	MOTGA	2	2	2	[0.0, 0.0]	0	11	
61	MoeSQLmosa	9	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
61	MOTGA	6	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
62	MoeSQLmosa	12	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
